=============== Sampling Metadata ===============
Node ID: 4
Start Time: 2025-07-02 16:02:00.000
Sampling Rate: 100 Hz
Duration: 420 s
================= Sampling Data =================
time_ms,ax,ay,az
      32,0.053711,0.017090,0.962891
      34,0.052246,0.018066,0.967285
      35,0.058105,0.008057,0.966309
      40,0.048584,0.007568,0.964111
      50,0.052979,0.010986,0.963135
      60,0.052002,0.014404,0.965576
      70,0.056641,0.012207,0.960693
      80,0.051025,0.013916,0.964844
      90,0.052979,0.017822,0.969482
     100,0.055664,0.013672,0.960449
     110,0.052734,0.018799,0.964844
     120,0.056885,0.009277,0.963623
     130,0.057373,0.012695,0.962402
     140,0.047852,0.013428,0.965576
     150,0.056641,0.010742,0.962158
     160,0.049072,0.014893,0.958740
     170,0.048828,0.010986,0.971191
     180,0.052734,0.016602,0.960205
     190,0.051025,0.012695,0.960693
     200,0.054688,0.012939,0.959717
     210,0.054443,0.005859,0.961182
     220,0.048828,0.011475,0.965820
     230,0.053223,0.010986,0.961182
     240,0.051514,0.013916,0.963623
     250,0.052002,0.008301,0.962402
     260,0.054199,0.013672,0.958984
     270,0.051270,0.008789,0.961182
     280,0.054688,0.015137,0.966553
     290,0.049805,0.013184,0.964111
     300,0.055908,0.010986,0.968262
     310,0.050049,0.012207,0.961670
     320,0.046631,0.012207,0.968018
     330,0.057129,0.009766,0.964111
     340,0.054443,0.013184,0.963379
     350,0.053223,0.007080,0.970703
     360,0.056396,0.012939,0.971924
     370,0.049561,0.013184,0.966553
     380,0.051025,0.010498,0.965820
     390,0.048096,0.010498,0.963867
     400,0.048340,0.021729,0.971680
     410,0.056152,0.015381,0.964600
     420,0.052490,0.013672,0.959473
     430,0.049072,0.014404,0.972900
     440,0.054932,0.012451,0.950928
     450,0.052490,0.012451,0.962402
     460,0.050781,0.013428,0.964111
     470,0.055908,0.013184,0.965332
     480,0.056641,0.010010,0.972168
     490,0.052246,0.010742,0.970459
     500,0.048584,0.009521,0.957275
     510,0.052734,0.007324,0.971924
     520,0.050049,0.013672,0.964111
     530,0.051025,0.005127,0.968262
     540,0.053223,0.011719,0.957520
     550,0.051270,0.009766,0.963379
     560,0.058105,0.013428,0.965820
     570,0.051514,0.012695,0.960205
     580,0.049561,0.010742,0.955811
     590,0.052979,0.010010,0.968750
     600,0.051025,0.010742,0.960693
     610,0.052490,0.011475,0.964844
     620,0.051025,0.015625,0.963135
     630,0.053711,0.013672,0.967285
     640,0.052979,0.011475,0.962646
     650,0.048828,0.015137,0.960449
     660,0.053467,0.008545,0.959961
     670,0.046875,0.009033,0.965332
     680,0.059570,0.010986,0.958496
     690,0.047119,0.013916,0.964600
     700,0.052246,0.008545,0.963379
     710,0.053955,0.014893,0.972168
     720,0.054199,0.018066,0.964355
     730,0.054443,0.018311,0.963623
     740,0.049072,0.013184,0.961426
     750,0.055908,0.016113,0.968994
     760,0.056641,0.010986,0.962402
     770,0.055176,0.006836,0.968506
     780,0.045654,0.013428,0.967529
     790,0.052734,0.014404,0.969482
     800,0.052002,0.011963,0.965332
     810,0.053467,0.010498,0.962158
     820,0.055908,0.007080,0.968018
     830,0.053955,0.011230,0.963135
     840,0.060547,0.010010,0.964111
     850,0.052246,0.019531,0.960205
     860,0.054199,0.017334,0.969727
     870,0.052246,0.010254,0.964111
     880,0.049805,0.013672,0.962158
     890,0.052246,0.010498,0.971436
     900,0.050293,0.010498,0.962402
     910,0.055420,0.012451,0.960449
