=============== Sampling Metadata ===============
Node ID: 3
Start Time: 2025-07-02 16:16:30.000
Sampling Rate: 100 Hz
Duration: 180 s
================= Sampling Data =================
time_ms,ax,ay,az
      32,0.035400,-0.020508,0.929688
      34,0.037354,-0.022949,0.936768
      35,0.038574,-0.021973,0.942627
      40,0.039551,-0.016602,0.936035
      50,0.033447,-0.021484,0.936279
      60,0.034668,-0.027832,0.937256
      70,0.031006,-0.026855,0.928467
      80,0.041504,-0.019775,0.936035
      90,0.032959,-0.020752,0.930664
     100,0.030762,-0.019287,0.930908
     110,0.031738,-0.017578,0.942627
     120,0.040283,-0.023193,0.938965
     130,0.034180,-0.020020,0.926514
     140,0.036865,-0.020996,0.933594
     150,0.031982,-0.017334,0.926758
     160,0.035645,-0.025879,0.931396
     170,0.033203,-0.021729,0.928223
     180,0.034424,-0.019531,0.933594
     190,0.041504,-0.015137,0.925781
     200,0.034180,-0.021973,0.929199
     210,0.030518,-0.022217,0.931885
     220,0.033691,-0.021973,0.935059
     230,0.037354,-0.019775,0.926025
     240,0.033447,-0.019531,0.925537
     250,0.036377,-0.020264,0.943115
     260,0.036133,-0.023682,0.931396
     270,0.034424,-0.018311,0.935059
     280,0.037109,-0.025391,0.939697
     290,0.037598,-0.023682,0.939453
     300,0.030762,-0.016846,0.927002
     310,0.032959,-0.016357,0.931152
     320,0.032471,-0.015625,0.931396
     330,0.036133,-0.019531,0.929443
     340,0.037842,-0.022217,0.928955
     350,0.036621,-0.025635,0.929443
     360,0.034180,-0.026123,0.934814
     370,0.039795,-0.016357,0.934570
     380,0.032471,-0.023193,0.932861
     390,0.038330,-0.019531,0.935547
     400,0.033447,-0.023193,0.931885
     410,0.031738,-0.019287,0.927979
     420,0.028320,-0.020752,0.935059
     430,0.033203,-0.023193,0.929199
     440,0.033203,-0.016357,0.936035
     450,0.036621,-0.021973,0.936035
     460,0.032715,-0.028564,0.930176
     470,0.039795,-0.020020,0.926514
     480,0.031982,-0.016113,0.935791
     490,0.035156,-0.025879,0.936279
     500,0.039795,-0.016357,0.922363
     510,0.040771,-0.028564,0.927490
     520,0.039307,-0.030273,0.937744
     530,0.036377,-0.023438,0.931641
     540,0.026855,-0.019043,0.930176
     550,0.032471,-0.016846,0.932129
     560,0.035156,-0.021484,0.935791
     570,0.029541,-0.019043,0.941162
     580,0.033447,-0.020264,0.930420
     590,0.035156,-0.020508,0.932861
     600,0.035645,-0.020264,0.930176
     610,0.032227,-0.021240,0.933594
     620,0.035156,-0.024170,0.925781
