=============== Sampling Metadata ===============
Node ID: 4
Start Time: 2025-07-02 17:02:30.000
Sampling Rate: 100 Hz
Duration: 30 s
================= Sampling Data =================
time_ms,ax,ay,az
      33,0.065430,0.005371,0.963379
      34,0.063965,-0.001465,0.961426
      35,0.066650,0.002441,0.964844
      40,0.061035,-0.000977,0.969238
      50,0.060059,0.004150,0.971436
      60,0.057373,-0.000977,0.962646
      70,0.059326,-0.000977,0.969238
      80,0.060791,-0.002686,0.970215
      90,0.056152,0.000732,0.962646
     100,0.062988,-0.004150,0.967529
     110,0.063721,-0.005615,0.964111
     120,0.058838,-0.001953,0.968018
     130,0.055908,-0.001465,0.965088
     140,0.059326,0.001709,0.965576
     150,0.066406,0.003418,0.964355
     160,0.058594,-0.002686,0.963623
     170,0.061523,-0.002686,0.965088
     180,0.062744,0.002197,0.959473
     190,0.059082,-0.002441,0.967285
     200,0.063477,-0.000732,0.970703
     210,0.062012,0.001953,0.971436
     220,0.067139,-0.001953,0.967529
     230,0.058594,0.001953,0.965820
     240,0.065430,-0.001709,0.969971
     250,0.065918,0.000488,0.967529
     260,0.069092,0.001709,0.961670
     270,0.060303,0.002686,0.971191
     280,0.068604,0.003174,0.965820
     290,0.062012,-0.000244,0.966064
     300,0.063721,0.003906,0.955811
     310,0.059814,-0.001953,0.969238
     320,0.061523,0.002441,0.967285
     330,0.059814,-0.003174,0.970703
     340,0.063477,0.000000,0.958984
     350,0.057617,-0.000732,0.963867
     360,0.064941,0.003662,0.967773
     370,0.059326,-0.001221,0.970703
     380,0.060547,0.002197,0.967285
     390,0.061523,-0.001221,0.965576
     400,0.066406,-0.009277,0.968750
     410,0.065918,0.000244,0.965332
     420,0.060547,0.001709,0.962158
     430,0.072266,-0.000977,0.968262
     440,0.063965,-0.000732,0.966064
     450,0.065430,-0.006104,0.970947
     460,0.063477,0.006104,0.966797
     470,0.064941,0.009277,0.969727
     480,0.062988,-0.004395,0.962402
     490,0.066895,0.003662,0.961670
     500,0.065430,0.001709,0.964355
     510,0.064209,-0.000488,0.966309
     520,0.060547,-0.000732,0.968750
     530,0.060791,0.000000,0.967529
     540,0.062256,-0.001221,0.967041
     550,0.058350,-0.004883,0.965576
     560,0.063965,-0.001221,0.970703
     570,0.065918,-0.001221,0.964844
     580,0.059814,0.006592,0.966797
     590,0.063477,-0.002441,0.969727
     600,0.061523,0.002930,0.963867
     610,0.063477,0.002441,0.966064
     620,0.062744,-0.000488,0.964844
     630,0.062744,0.002197,0.961426
     640,0.056885,0.003418,0.968506
     650,0.062500,0.000732,0.963379
     660,0.069824,0.000977,0.960693
     670,0.065186,0.000000,0.973145
     680,0.063477,0.005127,0.962891
     690,0.068848,-0.001221,0.970215
     700,0.063965,-0.001465,0.960449
     710,0.065186,-0.003906,0.964111
     720,0.057861,-0.005615,0.966797
     730,0.061768,-0.000488,0.964111
     740,0.060059,-0.002686,0.964844
     750,0.064941,0.001221,0.968506
     760,0.064453,0.005127,0.962646
     770,0.063965,-0.001709,0.969238
     780,0.062988,0.002197,0.967041
     790,0.060059,0.001221,0.960693
     800,0.064941,0.000244,0.972412
     810,0.063232,0.000977,0.963135
     820,0.065674,0.004150,0.965088
     830,0.067871,0.005371,0.962891
     840,0.058594,0.003174,0.966553
     850,0.062988,-0.001465,0.958740
     860,0.059570,-0.000977,0.970215
     870,0.064453,-0.001465,0.967041
     880,0.062500,0.000732,0.962891
     890,0.062744,-0.000244,0.968262
     900,0.059326,0.000244,0.970947
     910,0.063721,0.001465,0.961914
     920,0.066650,-0.000244,0.958740
     930,0.057129,-0.003906,0.969482
